id,content
157,厦门佰翔琨烁酒店的预订部号码？
158,厦门佰翔汇馨威斯汀酒店大堂吧简介？
159,厦门佰翔汇馨威斯汀酒店是几星级酒店，是否挂牌？
160,厦门佰翔汇馨威斯汀酒店的简介？
161,厦门佰翔汇馨威斯汀酒店的传真号？
162,厦门佰翔汇馨威斯汀酒店的总机号码？
163,厦门佰翔汇馨威斯汀酒店共有多少层？
164,厦门佰翔汇馨威斯汀酒店康体健身简介？
165,福州佰翔家海滨酒店的官方网址？
166,福州佰翔海瀛湾佰翔度假酒店西餐厅的简介？
167,福州佰翔海瀛湾佰翔度假酒店是几星级酒店？
168,福州佰翔海瀛湾佰翔度假酒店中餐厅的简介？
169,福州佰翔家海滨酒店自助餐厅的简介？
170,福州佰翔海瀛湾佰翔度假酒店共拥有多少间客房（套）？
171,福州佰翔家海滨酒店地理位置？
172,福州佰翔家海滨酒店共有多少层？
173,福州佰翔家海滨酒店的预订部号码？
174,福州佰翔海瀛湾佰翔度假酒店游泳池简介？
175,福州佰翔海瀛湾佰翔度假酒店的官方网址？
176,福州佰翔家海滨酒店是几星级酒店，是否挂牌？
177,福州佰翔家海滨酒店中餐厅的简介？
178,福州佰翔家海滨酒店的总机号码？
179,福州佰翔海瀛湾佰翔度假酒店宴会厅及会议室的简介？
180,福州佰翔家海滨酒店的传真号？
181,福州佰翔海瀛湾佰翔度假酒店康体健身简介？
182,福州佰翔海瀛湾佰翔度假酒店大堂吧简介？
183,福州佰翔家海滨酒店共拥有多少间客房（套）？
184,福州佰翔家海滨酒店的简介？
185,福州佰翔家海滨酒店宴会厅及会议室的简介？
186,福州佰翔家海滨酒店的地址？
187,厦门佰翔五通酒店附近有什么景点？
188,厦门佰翔五通酒店游泳池简介？
189,福州佰翔海瀛湾佰翔度假酒店的总机号码？
190,福州空港佰翔花园酒店宴会厅及会议室的简介？
191,福州空港佰翔花园酒店的传真号？
192,福州佰翔海瀛湾佰翔度假酒店的传真号？
193,福州空港佰翔花园酒店的官方网址？
194,福州空港佰翔花园酒店附近有什么景点？
195,福州空港佰翔花园酒店共拥有多少间客房（套）？
196,海瀛湾佰翔度假酒店的简介？
197,福州空港佰翔花园酒店的地址？
198,福州空港佰翔花园酒店是几星级酒店，是否挂牌？
199,厦门佰翔五通酒店大堂吧简介？
200,福州空港佰翔花园酒店康体健身简介？
201,福州空港佰翔花园酒店中餐厅的简介？
202,福州空港佰翔花园酒店的简介？
203,福州空港佰翔花园酒店自助西餐厅的简介？
204,福州佰翔海瀛湾佰翔度假酒店的地址？
205,厦门佰翔五通酒店康体健身简介？
206,福州空港佰翔花园的总机号码？
207,福州空港佰翔花园酒店共有多少层？
208,厦门佰翔五通酒店宴会厅及会议室的简介？
209,厦门佰翔五通酒店的官方网址？
210,厦门佰翔五通酒店日料餐厅简介？
211,厦门佰翔五通酒店共拥有多少间客房（套）？
212,厦门佰翔五通酒店的简介？
213,厦门佰翔五通酒店的地址？
214,厦门空港佰翔花园酒店宴会厅及会议室的简介？
215,厦门空港佰翔花园酒店附近有什么景点？
216,进港防疫规定
217,厦门佰翔五通酒店共有多少层？
218,厦门佰翔五通酒店的传真号？
219,厦门佰翔五通酒店是几星级酒店
220,厦门空港佰翔花园酒店游泳池简介？
221,厦门空港佰翔花园酒店西餐厅简介？
222,厦门佰翔五通酒店中餐厅的简介？
223,厦门佰翔五通酒店的预订部号码？
224,厦门佰翔五通酒店的总机号码？
225,厦门佰翔五通酒店自助餐厅的简介？
226,厦门空港佰翔花园酒店康体健身简介？
227,出港防疫规定
228,要怎么联系你们集团
229,如何预订工龄房
230,专车能否指定司机
231,专车发票邮寄费用
232,接机夜间服务费计算时间
233,接机夜间服务费计算时间
234,机场出发如何订车票
235,快线优惠券无法使用
236,快线优惠券
237,哪个站点可以寄存行李
238,送机夜间服务费计算时间
239,送机夜间服务费计算时间
240,快线师傅能否等待旅客
241,快线发票能包邮吗
242,翔业集团宗旨
243,厦门机场的网址？
244,异地专车服务范围
245,终端机位置
246,终端机位置
247,元翔专车怎么注册
248,代客叫车怎么付款
249,优惠券如何使用
250,机场能上门接送吗
251,机场能上门接送吗
252,如何登陆元翔专车APP
253,专车APP在哪里下载
254,一个账户可以下几个订单
255,专车高速费由谁承担
256,专车高速费由谁承担
257,专车发票怎么申请
258,取消订单费用
259,头等舱通道服务是什么
260,微信叫车和APP叫车价格有区别吗
261,退款进度
262,指定车型
263,能否更改上车位置
264,可以提前多久约车
265,首次叫车优惠
266,专车车型
267,专车车型
268,专车可以跨市预约吗
269,去福州市区需在哪里等车
270,长期用车对接
271,怎么充值专车账户
272,专车订单支付方式
273,定位失败怎么处理
274,账户里有余额迁移
275,建行0元优惠券要怎么获取？
276,手机号不支持下单
277,莆田（笏石）假日酒店乘车点位置
278,福安乘车点位置
279,福清新厝乘车点位置
280,霞浦乘车点位置
281,福清渔溪乘车点位置
282,快线拼车服务
283,莆田涵江乘车点位置
284,机场出发长途乘车点位置
285,莆田（黄石）清山物流乘车点位置
286,宁德新能源乘车点位置
287,周宁乘车点位置
288,福清江阴乘车点位置
289,仙游乘车点位置
290,周宁到机场的车票如何购买
291,宁德乘车点位置
292,莆田乘车点位置
293,平市延平汽车站乘车点位置
294,尚干汇雄商务宾馆乘车点位置
295,福清高山乘车点位置
296,福清三山乘车点位置
297,永泰豪景酒店乘车点位置
298,平潭海岛酒店乘车点位置
299,福清瑞鑫乘车点位置
300,罗源乘车点位置
